,X,Backed_Microlith,BipolarTech,BladeTech,Borer,Burin,CentripetalTech,CoreTool,Denticulate,LevalloisBladeTech,LevalloisFlakeTech,LevalloisPointTech,Notch,PlatformCore,PointTech,RTBifacial,Scraper,rowSums.cbdatapa2.,AssID,Site...3,Reported.Industry,Industry,SimpleMethod,SimpleType,N,E,MIN_AGE,MID_AGE,MAX_AGE,newMIS,Ref,Basalts,Cherts,CCS,Obsidians,Metamorphics,Quartzs,Other Igneous,Other Sedimentary
44,Fincha Habera 8_10,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,6,Fincha Habera 8_10,Fincha Habera,MSA,MSA,1,1,7.014577,39.720068,27,31,34,3,Ossendorf et al. 2019,1,1,0,1,0,0,0,0
45,Fincha Habera 8_11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,Fincha Habera 8_11,Fincha Habera,MSA,MSA,1,1,7.014577,39.720068,27,31,34,3,Ossendorf et al. 2019,1,1,0,1,0,0,0,0
46,Fincha Habera 8_8,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Fincha Habera 8_8,Fincha Habera,MSA,MSA,1,1,7.014577,39.720068,27,31,34,3,Ossendorf et al. 2019,1,1,0,1,0,0,0,0
47,Fincha Habera 8_9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Fincha Habera 8_9,Fincha Habera,MSA,MSA,1,1,7.014577,39.720068,27,31,34,3,Ossendorf et al. 2019,1,1,0,1,0,0,0,0
48,Fincha Habera 9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Fincha Habera 9,Fincha Habera,MSA,MSA,1,1,7.014577,39.720068,33,38,42,3,Ossendorf et al. 2019,1,1,0,1,0,0,0,0
132,Gademotta_ETH72_1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,10,Gademotta_ETH72_1,Gademotta,MSA,MSA,1,0,7.548216124,38.57459634,172,223,274,7,Douze 2012,0,0,0,1,0,0,0,0
133,Gademotta_ETH72_6,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,11,Gademotta_ETH72_6,Gademotta,MSA,MSA,1,0,7.548216124,38.57459634,172,223,274,7,Douze 2012,0,0,0,1,0,0,0,0
6,Goda Butchia_Complex2_DEF,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,8,Goda Butchia_Complex2_DEF,Goda Butchia,WontSpecify,MSA,1,1,9.541704,41.629434,22,46,70,3,Leplongeon et al. 2017,1,1,0,1,1,0,0,0
226,KapedoTuffs,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,5,KapedoTuffs,KapedoTuffs,MSA,MSA,0,0,1.07,36.08,120,128,135,5,Tryon et al. 2008,0,0,0,0,0,0,1,0
143,KapForm_KoimilotGnJh74_1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,5,KapForm_KoimilotGnJh74_1,Kapthurin Formation,MSA (Early),MSA,1,0,0.517,35.975,198,218,237,7,Tryon 2003,0,0,0,0,0,0,1,0
144,KapForm_KoimilotGnJh74_2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,5,KapForm_KoimilotGnJh74_2,Kapthurin Formation,MSA (Early),MSA,1,0,0.517,35.975,198,218,237,7,Tryon 2003,0,0,0,0,0,0,1,0
145,KapForm_SSRS,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,7,KapForm_SSRS,Kapthurin Formation,MSA,MSA,1,0,0.657,35.99,198,218,237,7,Blegen 2017,0,0,0,1,0,0,1,0
146,Karungu_A3Ex,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,Karungu_A3Ex,Karungu,MSA,MSA,1,0,-0.836659,34.180453,42,79,115,5,Faith et al 2015,0,1,0,0,1,1,0,0
237,Karungu_Kisaaka_Main,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Karungu_Kisaaka_Main,Karungu,MSA,MSA,0,0,-0.806661,34.134566,42,49,56,3,Faith et al 2015,0,1,0,0,1,1,0,0
238,Karungu_Kisaaka_ZTG,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Karungu_Kisaaka_ZTG,Karungu,MSA,MSA,0,0,-0.806678,34.133984,42,79,115,5,Faith et al 2015,0,1,0,0,1,1,0,0
